Arriba/abajo;X;xGOT;Gol (0/1);Partido;Equipo tiro;Equipo portera;Portera;Altura;"Resultante
de cada tiro"
Abajo;Low left;0.39;0;Slavia-Brann (R5);Slavia;Brann;Aurora M;1.73;-0.39
Arriba;High centre;0.09;0;Slavia-Brann (R5);Slavia;Brann;Aurora M;1.73;-0.09
Abajo;Low left;0.17;0;Slavia-Brann (R5);Brann;Slavia;Olivie L;1.81;-0.17
Abajo;Low centre;0.05;0;Slavia-Brann (R5);Brann;Slavia;Olivie L;1.81;-0.05
Abajo;Low right;0.94;1;Rosen-Benfica(R5);Rosen;Benfica;Lena P;1.76;0.06
Arriba;High right;0.54;1;Rosen-Benfica(R5);Rosen;Benfica;Lena P;1.76;0.46
Abajo;Low left;0.18;0;Rosen-Benfica(R5);Rosen;Benfica;Lena P;1.76;-0.18
Abajo;Low left;0.13;0;Rosen-Benfica(R5);Rosen;Benfica;Lena P;1.76;-0.13
Abajo;Low centre;0.94;1;Rosen-Benfica(R5);Benfica;Rosen;Angel M;1.77;0.06
Arriba;High right;0.34;0;Rosen-Benfica(R5);Benfica;Rosen;Angel M;1.77;-0.34
Abajo;Low left;0.24;1;Rosen-Benfica(R5);Benfica;Rosen;Angel M;1.77;0.76
Abajo;Low left;0.08;0;Rosen-Benfica(R5);Benfica;Rosen;Angel M;1.77;-0.08
Abajo;Low left;0.57;1;Barsa-Frankfurt (R5);Barsa;Frankfut;Stina J;1.77;0.43
Abajo;Low centre;0.55;0;Barsa-Frankfurt (R5);Barsa;Frankfut;Cara B;1.73;-0.55
Abajo;Low right;0.47;1;Barsa-Frankfurt (R5);Barsa;Frankfut;Stina J;1.77;0.53
Abajo;Low centre;0.29;0;Barsa-Frankfurt (R5);Barsa;Frankfut;Cara B;1.73;-0.29
Abajo;Low centre;0.2;0;Barsa-Frankfurt (R5);Barsa;Frankfut;Cara B;1.73;-0.2
Abajo;Low centre;0.09;0;Barsa-Frankfurt (R5);Barsa;Frankfut;Stina J;1.77;-0.09
Abajo;Low centre;0.07;0;Barsa-Frankfurt (R5);Barsa;Frankfut;Stina J;1.77;-0.07
Abajo;Low centre;0.03;0;Barsa-Frankfurt (R5);Barsa;Frankfut;Stina J;1.77;-0.03
Abajo;Low centre;0.93;1;Polten-OLY (R5);OLY;Polten;Carina S;1.74;0.07
Arriba;High left;0.77;1;Polten-OLY (R5);OLY;Polten;Carina S;1.74;0.23
Abajo;Low left;0.71;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.71
Abajo;Low left;0.63;1;Polten-OLY (R5);OLY;Polten;Carina S;1.74;0.37
Abajo;Low right;0.62;1;Polten-OLY (R5);OLY;Polten;Carina S;1.74;0.38
Arriba;High left;0.33;1;Polten-OLY (R5);OLY;Polten;Carina S;1.74;0.67
Abajo;Low right;0.27;1;Polten-OLY (R5);OLY;Polten;Carina S;1.74;0.73
Arribaa;High right;0.21;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.21
Abajo;Low right;0.15;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.15
Arriba;High centre;0.15;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.15
Abajo;Low centre;0.09;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.09
Abajo;Low centre;0.09;1;Polten-OLY (R5);OLY;Polten;Carina S;1.74;0.92
Abajo;Low centre;0.08;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.08
Arriba;High right;0.08;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.06
Abajo;Low centre;0.06;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.05
Abajo;Low centre;0.05;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.02
Abajo;Low centre;0.02;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.02
Abajo;Low centre;0.02;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.02
Abajo;Low centre;0.02;0;Polten-OLY (R5);OLY;Polten;Carina S;1.74;-0.28
Abajo;Low left;0.28;0;RM-BK (R6);RM;BK;Jennifer F;1.71;-0.28
Abajo;Low centre;0.1;0;RM-BK (R6);RM;BK;Jennifer F;1.71;-0.1
Abajo;Low centre;0.04;0;RM-BK (R6);RM;BK;Jennifer F;1.71;-0.04
Abajo;Low centre;0.01;0;RM-BK (R6);RM;BK;Jennifer F;1.71;-0.01
Arriba;High centre;0.68;1;RM-BK (R6);BK;RM;Mylene C;1.78;0.32
Abajo;Low right;0.22;0;RM-BK (R6);BK;RM;Mylene C;1.78;-0.22
Abajo;Low centre;0.14;0;RM-BK (R6);BK;RM;Mylene C;1.78;-0.14
Abajo;Low centre;0.04;0;Paris-Chelsea (R6);Paris;Chelsea;Zecira M;1.78;-0.04
Arriba;High centre;0.74;1;Paris-Chelsea (R6);Chelsea;Paris;Chiamaka N;1.74;0.26
Abajo;Low left;0.58;1;Paris-Chelsea (R6);Chelsea;Paris;Chiamaka N;1.74;0.42
Abajo;Low centre;0.07;1;Paris-Chelsea (R6);Chelsea;Paris;Chiamaka N;1.74;0.93
Abajo;Low centre;0.06;1;Paris-Chelsea (R6);Chelsea;Paris;Chiamaka N;1.74;0.94
Abajo;Low right;0.72;1;Ajax-Roma (R6);Ajax;Roma;Camelia C;1.7;0.28
Abajo;Low right;0.58;1;Ajax-Roma (R6);Roma;Ajax;Regina Van;1.73;0.42
Arriba;High centre;0.06;0;Ajax-Roma (R6);Roma;Ajax;Regina Van;1.73;-0.06
Abajo;Low centre;0.04;0;Ajax-Roma (R6);Roma;Ajax;Regina Van;1.73;-0.04
Abajo;Low centre;0.03;0;Ajax-Roma (R6);Roma;Ajax;Regina Van;1.73;-0.03
Arriba;High centre;0.43;0;Bayer-PSG (R6);Bayer;PSG;Constance P;1.8;-0.43
Arriba;High left;0.36;1;Bayer-PSG (R6);Bayer;PSG;Constance P;1.8;0.64
Abajo;Low left;0.16;1;Bayer-PSG (R6);Bayer;PSG;Constance P;1.8;0.84
Abajo;Low centre;0.06;0;Bayer-PSG (R6);Bayer;PSG;Constance P;1.8;-0.06
Abajo;Low centre;0.04;0;Bayer-PSG (R6);Bayer;PSG;Constance P;1.8;-0.04
Abajo;Low left;0.88;1;Bayer-PSG (R6);PSG;Bayer;Maria Luisa G;1.8;0.12
Abajo;Low left;0.38;0;Bayer-PSG (R6);PSG;Bayer;Maria Luisa G;1.8;-0.38
Arriba;High right;0.17;0;Bayer-PSG (R6);PSG;Bayer;Maria Luisa G;1.8;-0.17
Arriba;High centre;0.06;0;Bayer-PSG (R6);PSG;Bayer;Maria Luisa G;1.8;-0.06
Abajo;Low left;0.97;1;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;0.03
Abajo;Low left;0.94;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.94
Abajo;Low centre;0.92;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.92
Abajo;Low left;0.88;1;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;0.12
Abajo;Low centre;0.65;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.65
Abajo;Low centre;0.57;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.57
Abajo;Low right;0.17;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.17
Arriba;High right;0.14;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.14
Abajo;Low centre;0.11;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.11
Abajo;Low centre;0.04;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.04
Abajo;Low centre;0.03;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.03
Abajo;Low centre;0.03;0;OLY-Slavia (R6);OLY;Slavia;Olivie L;1.81;-0.03
Abajo;Low right;0.65;1;OLY-Slavia (R6);Slavia;OLY;Laura B;1.73;0.35
Abajo;Low centre;0.67;0;Brann-Polten (R6);Brann;Polten;Carina S;1.74;-0.67
Abajo;Low right;0.19;1;Brann-Polten (R6);Brann;Polten;Carina S;1.74;0.81
Abajo;Low right;0.14;1;Brann-Polten (R6);Brann;Polten;Carina S;1.74;0.93
Arriba;High centre;0.07;0;Brann-Polten (R6);Brann;Polten;Carina S;1.74;-0.67
Abajo;Low centre;0.67;1;Brann-Polten (R6);Polten;Brann;Aurora M;1.73;0.33
Abajo;Low right;0.18;0;Brann-Polten (R6);Polten;Brann;Aurora M;1.73;-0.18
Abajo;Low right;0.91;1;Benfica-Barsa (R6);Benfica;Barsa;Gemma Font;1.65;0.09
Abajo;Low left;0.74;1;Benfica-Barsa (R6);Benfica;Barsa;Gemma Font;1.65;0.26
Abajo;Low left;0.45;1;Benfica-Barsa (R6);Benfica;Barsa;Gemma Font;1.65;0.55
Arriba;High centre;0.13;0;Benfica-Barsa (R6);Benfica;Barsa;Gemma Font;1.65;-0.13
Abajo;Low centre;0.03;0;Benfica-Barsa (R6);Benfica;Barsa;Gemma Font;1.65;-0.03
Abajo;Low left;0.82;1;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;0.18
Abajo;Low centre;0.76;1;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;0.24
Abajo;Low right;0.74;1;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;0.26
Abajo;Low centre;0.61;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.61
Abajo;Low centre;0.52;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.52
Abajo;Low right;0.52;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.52
Abajo;Low left;0.31;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.31
Arriba;High left;0.29;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.29
Arriba;High right;0.27;1;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;0.73
Abajo;Low left;0.22;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.22
Arriba;High right;0.21;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.21
Arriba;High right;0.16;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.16
Arriba;High left;0.15;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.15
Abajo;Low centre;0.13;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.13
Abajo;Low right;0.09;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.09
Abajo;Low centre;0.04;0;Benfica-Barsa (R6);Barsa;Benfica;Lena P;1.76;-0.04
Abajo;Low left;0.95;1;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;0.05
Arriba;High right;0.75;1;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;0.25
Abajo;Low centre;0.7;1;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;0.3
Arriba;High left;0.59;1;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;0.41
Abajo;Low centre;0.28;1;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;0.72
Abajo;Low centre;0.23;0;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;-0.23
Arriba;High left;0.09;0;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;-0.09
Abajo;Low centre;0.02;0;Frankfurt-Rosen (R6);Frankfurt;Rosen;Angel M;1.77;-0.02
